"hash","date","author","subject"
"64a4d59d8a0d195571893b21013d8f56e176c37d","2025-12-19T17:27:40+05:30","Manideep SP","Change demo availability from true to false"
"d2df77599de54301726c24aedbb73ad6b79504c5","2025-12-19T17:13:35+05:30","Manideep SP","docs: Update README to v1.0 with architecture diagrams, flowcharts, and enhanced documentation"
"baad1b00127e19b334e3bf59dcc593bfc4abf645","2025-12-19T16:58:34+05:30","Manideep SP","feat(projects): visual and UX refinements with config enhancements"
"6499f0f5087a4b6aadaf11c7b48d6f45fb6cc909","2025-12-19T16:41:39+05:30","Manideep SP","fix(contact): reset character counter after successful form submission"
"f2d2e7d3f43a42f8a969d57278609c4cf633c380","2025-12-19T16:21:45+05:30","Manideep SP","feat(contact): improve form UX and fix worker CORS"
"837b507ecb8260bc0cf15a052cc7c68c0678ae1b","2025-12-19T15:44:24+05:30","Manideep SP","content: sync about.md name and role with config.json"
"cf12773d16723ffd9e4777f707d8d55c1d448018","2025-12-19T15:42:49+05:30","Manideep SP","style(polish): smoother cubic-bezier transitions and focus refinement"
"2454042457335ed43e69b6398f157caa2900af30","2025-12-19T15:39:35+05:30","Manideep SP","perf: preconnect fonts, async font load, fetchpriority, decoding hints"
"65b4ce4efd3dd5512a8cc98bf05ed12f3be3278a","2025-12-19T15:32:04+05:30","Manideep SP","a11y: add skip link, landmarks, meta description, focus outline"
"0f5daaf1ec0d260a50cee41bed19723130547501","2025-12-19T15:28:15+05:30","Manideep SP","style(responsive): tighten mobile spacing and stack layouts"
"b87f3265fd5daa6d1f8c112e678751201d07178e","2025-12-19T15:25:34+05:30","Manideep SP","style(cards): restore darker hover contrast"
"490de5a77fa72bea829d824ff9b8c07f69270d26","2025-12-19T15:19:28+05:30","Manideep SP","feat(bg+cursor): animate aurora spotlight and speed up cursor glow"
"a9e2f3a56cb5d15b8bd5afd75b02e4ebc36d38cd","2025-12-19T15:14:37+05:30","Manideep SP","fix(reveal): avoid permanent blur when JS is unavailable"
"40d83c53cb8c8f8bc64011356a5c55fdb0c6a641","2025-12-19T15:10:55+05:30","Manideep SP","feat(reveal): auto-attach scroll animations across sections"
"095bb4fa3ca4b692523b88211891af3e0e791e06","2025-12-19T15:09:22+05:30","Manideep SP","style(spacing): clamp-based layout rhythm and glass sections"
"c2972fb817d5e80578b011d19c999b1c88153164","2025-12-19T14:58:21+05:30","Manideep SP","refactor(site): footer grid, Monogram component, icons sprite, toast consolidation, contact & style polish"
"185480338bfd0a401dad8203fea419b63d760712","2025-12-19T12:14:02+05:30","Manideep SP","feat(hero): responsive mobile-first hero layout and styling"
"bc493b3e1c6f9a29f52e49652bb3b4364af0e42b","2025-12-15T09:56:41+05:30","Manideep SP","fix(hero): prevent title/image overlap, adjust hero layout and sizes, add detail classes"
"62e92a1942d30bfcf616e353e75903390ab90794","2025-12-14T00:16:32+05:30","Manideep SP","refactor(hero): implement CSS Grid layout with responsive breakpoints"
"6e8a89353051dbdca9041e51aef9cb4f27729b61","2025-12-13T23:18:46+05:30","Manideep SP","fix(hero): responsive hero asset on mobile, add fallbacks, tune accents"
"4b0271ece9cc3269c1a4851bb9e3fb5ac7f31326","2025-12-13T23:14:26+05:30","Manideep SP","fix(hero): blend hero into page background, restore CTAs, tune accents"
"122362ce6d08c1e7f2915738b56a5638dd8297c4","2025-12-13T22:59:33+05:30","Manideep SP","fix(hero): blend hero into page background, restore CTAs, tune accents"
"b055e5f1fc5a6af8d1f31b0479ed43517723e6b9","2025-12-13T22:12:39+05:30","Manideep SP","feat(contact): improve contact UX, add site-wide toasts and shared helper"
"b704fda04cc1d4403dd6e6556415277f2bef2fc0","2025-12-12T15:17:01+05:30","Manideep SP","Change: Add clickable link to company in experience, make experience configurable"
"d948a2e9fba7d20c6cecdd2e3efd03d38b5219a5","2025-12-12T14:34:04+05:30","Manideep SP","Revert ""Update: The Experience section now features a modern vertical timeline with a colored line, animated dot, and each entry in a glassmorphic card. Spacing, tag display, and overall layout are improved for a more professional, recruiter-friendly look."""
"db55af46aa619132b05b844903a39e349a6a2f5a","2025-12-12T14:21:32+05:30","Manideep SP","Update: The Experience section now features a modern vertical timeline with a colored line, animated dot, and each entry in a glassmorphic card. Spacing, tag display, and overall layout are improved for a more professional, recruiter-friendly look."
"b19fe14ad232f7ccc3fef9211f7ed15895c5a154","2025-12-12T14:13:04+05:30","Manideep SP","Update/Fix: Completely rewrote global.css - Removed ALL !important tags and restructured the CSS with proper specificity and organization:"
"1d520cc6f0a270eb6e950fd3a38b24fd5309529d","2025-12-12T14:04:41+05:30","Manideep SP","Fix: Colours fix, css import order"
"619bba9dcf34947f33c531ed50cbdcf18c78dafc","2025-12-12T13:55:13+05:30","Manideep SP","Update: The About section will now render with a modern, glassmorphic card style and improved markdown typography. This ensures your about content is visually appealing, easy to read, and consistent with the rest"
"447f06de210e38e4a12211bed0bc605e25ff1412","2025-12-12T13:50:21+05:30","Manideep SP","Fic: Text colour, css order, svg path"
"b68364163f2e042e36e6a8f49f259355bbe268d4","2025-12-12T13:45:21+05:30","Manideep SP","Update: New project cards and subtle js powered animation"
"4fbb9c9edb285aa40ef430d409d19a72bd063a21","2025-12-12T13:42:23+05:30","Manideep SP","update: navigation changes and Hero card changes"
"28e476fc7c97432473b906cf2616217e58262ca5","2025-12-12T13:01:39+05:30","Manideep SP","chore: update project image check"
"46cb44e71f6b13be3581c0345af6c2ce1c468a63","2025-12-12T12:53:20+05:30","Manideep SP","Finalize SVG assets, validation script, and build outputs"
"4bfce359bef89557379b187a2a286530d48f609d","2025-12-12T12:20:38+05:30","Manideep SP","Add project detail pages, slugs, and SVG-friendly images; remove About from home"
"33c47835ae4d2066715182d95ad355aaaf22171a","2025-12-12T11:37:57+05:30","Manideep SP","chore: one project update check update"
"faabcf519a5aa499317460510d5218e7742a61a6","2025-12-11T18:19:59+05:30","Manideep SP","chore: Remove home about section and cleanup index imports"
"9c92c5dbfcbbcd8ffe628c7cd0d24a2be2c7811c","2025-12-11T16:55:29+05:30","Manideep SP","style: elevate mobile UX (stacked layout, tap-friendly CTAs, refined typography)"
"1655d7cd9396dad3660f4e03db1df7a0a28e5649","2025-12-11T16:47:17+05:30","Manideep SP","style: refine typography with new heading font"
"2dc5fb24247c2e39674189535f716faf2f376cb0","2025-12-11T16:40:22+05:30","Manideep SP","feat: add about.markdownFile to config and use proper markdown rendering"
"5b919edad964cc9b13a7dbb4275fdbc2c8e39fa3","2025-12-11T16:35:29+05:30","Manideep SP","fix: make scroll-reveal visible by default (progressive enhancement)"
"97b91a7c8c3da675d1bdd3400f399e06478d6fa4","2025-12-11T16:14:30+05:30","Manideep SP","config test"
"2dc6804e9bbe2e78ef0d1b9049db75418275aac3","2025-12-11T16:00:12+05:30","Manideep SP","refactor: centralize all content in config.json and fix code duplication"
"c54923312871a0a8a826f88ffa9c6c195b9f1766","2025-12-11T14:56:31+05:30","Manideep SP","Test: Config propogation"
"1370efafadb17d6a4f65dc2d88d947f275254eb4","2025-12-11T13:50:57+05:30","Manideep SP","test: verify publish workflow deploys with assets"
"4016ff3b85e4fac88422621b20be8e0966d11b34","2025-12-11T13:48:19+05:30","Manideep SP","fix(ci): remove duplicate build_and_deploy workflow and fix _astro rename logic"
"d7fab925995e2815eb11c16b5d8a7f4d73bc540c","2025-12-11T13:30:18+05:30","Manideep SP","ci: retrigger publish workflow (ensure assets enforcement)"
"5f251a6f6c96ccee21c9fadea920eeb5815a33ce","2025-12-11T13:14:38+05:30","Manideep SP","ci: trigger publish workflow with assets-enforcement"
"8ad63bb88a8e69d81fb8597974a9428d25fae707","2025-12-11T13:08:05+05:30","Manideep SP","ci: assert assets exist in publish workflow"
"c4932cefe41c41a67c14b0c411c7ff686316b0a7","2025-12-11T12:56:14+05:30","Manideep SP","ci: test publish (no-op)"
"2ae28bfc22aa8fef10e4150cceab29904b42540a","2025-12-11T12:49:15+05:30","Manideep SP","ci: test publish (no-op)"
"a94dd2d7b9c253f4c6fe1aa5f9cca1a2ecb50a25","2025-12-11T10:28:09+05:30","Manideep SP","chore: remove temporary Pages CSS fallback script from BaseLayout"
"03877c54f1052f4a6f7f9f371a4c915b91d2f51f","2025-12-11T09:43:46+05:30","Manideep SP","ci: trigger single publish run (requested)"
"7283874a7e6f6234fde52e5960032b021efe35fa","2025-12-11T09:32:15+05:30","Manideep SP","ci: trigger single publish run for monitoring"
"c12bd32a2612e96e1f6b71caa75716f71e801c6b","2025-12-11T09:29:12+05:30","Manideep SP","ci: trigger single publish run for monitoring"
"6fb0979e11b9d89627921854afd9b5b918a63550","2025-12-11T09:11:25+05:30","Manideep SP","ci: trigger publish (move _astro -> assets)"
"a865aad9f4803325e74523440c98f573a4dbaa6a","2025-12-11T09:11:02+05:30","Manideep SP","ci: publish assets from non-underscored path (move _astro -> assets)"
"c50a1ff30acaf488186f78ab0106882930712137","2025-12-11T09:02:16+05:30","Manideep SP","ci: trigger rebuild (add CSS fallback)"
"d6c9ab348cfd3a40961b0abb24f27f0dcf4fa66d","2025-12-11T08:58:02+05:30","Manideep SP","fix: add runtime fallback to load _astro CSS from raw.githubusercontent if Pages returns 404"
"6d277a964634e02f144c39fc943f9d985d5b0fb0","2025-12-11T08:53:54+05:30","Manideep SP","republish: refresh gh-pages CDN"
"5b5fb29a6355720d8b00e8b28f0b8a1fb7942a8d","2025-12-11T08:43:23+05:30","Manideep SP","ci: trigger rebuild after header/footer basePath fix"
"b8937a532f946bfb67e4f714ea728b2f863d9075","2025-12-11T08:42:30+05:30","Manideep SP","fix: prefix header/footer links with basePath for GitHub Pages"
"10c851893b3f7c617b03e3506d5f024b1c99e53c","2025-12-11T07:57:31+05:30","Manideep SP","ci: trigger gh-pages publish (add .nojekyll)"
"4d95503aee336bdb3bd2eb9c263572d577083e91","2025-12-11T07:56:24+05:30","Manideep SP","ci: ensure .nojekyll is added so _astro assets are served"
"e418f76a2491809ebec5075793b2220ca4f10e3d","2025-12-11T07:44:55+05:30","Manideep SP","ci: make gh-pages publish robust (fetch + fallback force)"
"f6dff9dae877dc386b83d59ea3b4bb2e234ccd4d","2025-12-11T07:40:34+05:30","Manideep SP","fix: set Astro base and use dynamic basePath for assets"
"d3a7726d66e67843ada78a34e3179ca9849af7e5","2025-12-11T06:25:26+05:30","Manideep SP","chore: trigger CI publish"
"75eaf0437087f094b075e68f70f558533199b3bf","2025-12-11T06:08:28+05:30","Manideep SP","ci(pages): trigger rebuild after removing gh-pages"
"5636e157795a89918ea6f9de7da6e33a985ca676","2025-12-11T05:41:25+05:30","Manideep SP","ci(pages): trigger pages rebuild"
"9516f5729af010232ab730446b7a40a8c7febc43","2025-12-11T05:23:30+05:30","Manideep SP","chore(publish): sync gh-pages with latest dist"
"dda90aa3fbceed27b12f2056bcfc63a0b3fe3566","2025-12-11T04:55:51+05:30","Manideep SP","chore: trigger pages refresh"
"88bf3230b123b0c0295d5926be436ffea13843fa","2025-12-10T19:42:02+05:30","Manideep SP","ci(rebuild): trigger Cloudflare build"
"708e56b7cd53c26edbf023ddf2d3fa201a5f0711","2025-12-10T23:46:57Z","github-actions[bot]","chore: publish site to gh-pages [ci skip]"
"35f47d1b1aa9c938c795e8a49ec790834a6dce9c","2025-12-11T05:15:05+05:30","Manideep SP","chore(publish): update gh-pages with latest build (include _astro assets)"
"7bb5426ffe62e27905d69a83ab86f75de1a0a8f6","2025-12-11T05:07:14+05:30","Manideep SP","fix(publish): bundle global CSS and serve client module from public for gh-pages"
"6d673e11bb177a5e656bb9b1d327e7025b686a38","2025-12-11T04:55:51+05:30","Manideep SP","chore: trigger pages refresh"
"390b50eb9a1d616e0675dab86dbf5ae2ef2d4037","2025-12-11T04:30:53+05:30","Manideep SP","Action: Updated wrangler.jsonc"
"2755f9b1445bf7193aa5af441e123cb65a8a7b13","2025-12-11T04:13:14+05:30","Manideep SP","action: npm install"
"2d5011e0b9588b56bf13b31b6942966bce594f1c","2025-12-11T04:07:20+05:30","Manideep SP","git add wrangler.toml package.json git commit -m ""chore(ci): add root wrangler.toml and wrangler devDependency for Cloudflare builds"" git push origin main"
"fb91d70914bcc87a33090b05187acf0df76fee8c","2025-12-10T19:42:02+05:30","Manideep SP","ci(rebuild): trigger Cloudflare build"
"abb1188e3b66d8fc007c89cb9c6ed96c2d91dcff","2025-12-10T19:17:15+05:30","Manideep SP","ci: retrigger build"
"7a92a5cba7c68a9f0acb10aa77371a60ce036e30","2025-12-10T19:09:43+05:30","Manideep SP","ci: retrigger build"
"20cb29db826870fbdff065365a1db91746307344","2025-12-10T18:49:27+05:30","Manideep SP","chore(ci/worker): make Cloudflare Worker deploy robust & remove third-party actions"
"0668645d825e682dd09ffd118375b8251653e93c","2025-12-10T18:45:22+05:30","Manideep SP","chore(worker): update Cloudflare Worker deployment, secrets, and workflows"
"0ab0544072d3e0c75a586e25551ff43f2848f3b2","2025-12-10T18:40:36+05:30","Manideep SP","Update: Cloudflare Worker deployment, secrets, and workflows"
"f4060ba652e901ef1a3a5e5027990e58e90b4ef5","2025-12-10T17:47:29+05:30","Manideep SP","action: Added wrangler.toml with cloudfare account id"
"387ab5cd703a011ff75eeebd0b04f4d5dc149ad0","2025-12-10T17:03:38+05:30","Manideep SP","action: changes in deployment scripts"
"7882b326a84ed01216f98d2307c4d0c8cbbc90e4","2025-12-10T22:00:38+05:30","Manideep SP","Updated package lock file"
"57fb6feaf43b99ae2cbd5c3dd3445f0f4471dd6d","2025-12-10T21:28:03+05:30","Manideep SP","feat: add astro data store and types, update readme"
"9ebe7728beebef84516ad2bf1fb77cc3955b37af","2025-12-10T21:26:30+05:30","Manideep SP","chore: initial project scaffold and documentation"
